instance,reference_vehicles,reference_feasible,reference_distance,ortools_vehicles,ortools_vehicle_gap,ortools_distance,ortools_distance_gap,ortools_distance_gap_pct,ortools_feasible,ortools_reported_feasible,ortools_runtime_seconds,ortools_status,rust_vehicles,rust_vehicle_gap,rust_distance,rust_distance_gap,rust_distance_gap_pct,rust_feasible,rust_reported_feasible,rust_runtime_seconds,rust_status,ortools_vs_rust_vehicle_gap,ortools_vs_rust_distance_gap,ortools_vs_rust_distance_gap_pct,ortools_vs_rust_status
lc101,10,True,828.94,10,0,828.94,0.0,0.0,True,True,5.0,match,10,0,828.94,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc102,10,True,828.94,10,0,828.94,0.0,0.0,True,True,5.004,match,10,0,828.94,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc103,9,True,1035.35,10,1,827.86,-207.4899999999999,-20.04056599217655,True,True,5.0,worse_vehicles,10,1,827.86,-207.4899999999999,-20.04056599217655,True,,0.0,worse_vehicles,0,0.0,0.0,match
lc104,9,True,860.01,9,0,1155.31,295.29999999999995,34.33681003709258,True,True,5.0,worse_distance,10,1,819.45,-40.559999999999945,-4.716224229950808,True,,0.0,worse_vehicles,-1,335.8599999999999,40.98602721337481,better_vehicles
lc105,10,True,828.94,10,0,828.94,0.0,0.0,True,True,4.999,match,10,0,828.94,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc106,10,True,828.94,10,0,828.94,0.0,0.0,True,True,5.0,match,10,0,828.94,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc107,10,True,828.94,10,0,828.94,0.0,0.0,True,True,5.0,match,10,0,828.94,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc108,10,True,826.44,10,0,826.44,0.0,0.0,True,True,5.0,match,10,0,826.44,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc109,9,True,1000.6,10,1,905.14,-95.46000000000004,-9.540275834499305,True,True,5.0,worse_vehicles,10,1,866.86,-133.74,-13.365980411752949,True,,0.0,worse_vehicles,0,38.27999999999997,4.415937983065313,worse_distance
lc201,3,True,591.56,3,0,591.56,0.0,0.0,True,True,5.001,match,3,0,591.56,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc202,3,True,591.56,3,0,591.56,0.0,0.0,True,True,5.0,match,3,0,591.56,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc203,3,True,591.17,3,0,591.17,0.0,0.0,True,True,5.001,match,3,0,642.26,51.09000000000003,8.642184143309036,True,,0.0,worse_distance,0,-51.09000000000003,-7.9547223865724215,better_distance
lc204,3,True,590.6,3,0,644.34,53.74000000000001,9.099221131053167,True,True,5.0,worse_distance,4,1,744.07,153.47000000000003,25.98543853708094,True,,0.0,worse_vehicles,-1,-99.73000000000002,-13.403308828470442,better_vehicles
lc205,3,True,588.88,3,0,588.88,0.0,0.0,True,True,5.001,match,3,0,588.88,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc206,3,True,588.49,3,0,588.49,0.0,0.0,True,True,5.0,match,3,0,588.49,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc207,3,True,588.29,3,0,588.29,0.0,0.0,True,True,5.0,match,3,0,588.29,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lc208,3,True,588.32,3,0,591.77,3.449999999999932,0.5864155561599014,True,True,5.002,worse_distance,3,0,588.32,0.0,0.0,True,,0.0,match,0,3.449999999999932,0.5864155561599014,worse_distance
lr101,19,True,1650.8,20,1,1662.09,11.289999999999964,0.6839108311121859,True,True,5.035,worse_vehicles,20,1,1698.72,47.92000000000007,2.9028349890962004,True,,0.0,worse_vehicles,0,-36.63000000000011,-2.1563294716021537,better_distance
lr102,17,True,1487.57,18,1,1571.62,84.04999999999995,5.650154278454121,True,True,5.001,worse_vehicles,17,0,1510.82,23.25,1.5629516594177082,True,,0.0,worse_distance,1,60.799999999999955,4.0243046822255435,worse_vehicles
lr103,13,True,1292.68,15,2,1458.61,165.92999999999984,12.836123402543539,True,True,5.036,worse_vehicles,13,0,1293.14,0.4600000000000364,0.03558498623016031,True,,0.0,worse_distance,2,165.4699999999998,12.795984966824921,worse_vehicles
lr104,9,True,1013.39,11,2,1158.06,144.66999999999996,14.275846416483285,True,True,5.0,worse_vehicles,11,2,1095.72,82.33000000000004,8.124216737879793,True,,0.0,worse_vehicles,0,62.33999999999992,5.689409703208841,worse_distance
lr105,14,True,1377.11,14,0,1377.11,0.0,0.0,True,True,5.001,match,14,0,1377.11,0.0,0.0,True,,0.0,match,0,0.0,0.0,match
lr106,12,True,1252.62,12,0,1272.78,20.160000000000082,1.60942664175888,True,True,5.0,worse_distance,13,1,1289.33,36.710000000000036,2.9306573422107296,True,,0.0,worse_vehicles,-1,-16.549999999999955,-1.2836124188531992,better_vehicles
lr107,10,True,1111.31,11,1,1187.77,76.46000000000004,6.88016844984748,True,True,5.0,worse_vehicles,12,2,1291.99,180.68000000000006,16.25828976613187,True,,0.0,worse_vehicles,-1,-104.22000000000003,-8.066625902677266,better_vehicles
lr108,9,True,968.97,10,1,1028.63,59.66000000000008,6.15705336594529,True,True,5.0,worse_vehicles,9,0,968.97,0.0,0.0,True,,0.0,match,1,59.66000000000008,6.15705336594529,worse_vehicles
lr109,11,True,1208.96,14,3,1458.5,249.53999999999996,20.64088141874007,True,True,5.0,worse_vehicles,13,2,1367.35,158.38999999999987,13.101343303335087,True,,0.0,worse_vehicles,1,91.15000000000009,6.666179105569174,worse_vehicles
